state,x,y
Andhra Pradesh,-86, -172
Arunachal Pradesh,217, 130
Assam,175, 96
Bihar,55, 71
Chhattisgarh,-21, -36
Delhi,-106, 136
Goa,-181, -158
Gujarat,-239, 14	
Haryana,-124, 151
Himachal Pradesh,-100, 209
Jammu Kashmir,-146, 256
Jharkhand,47, 25
Karnataka,-155, -183
Kerala,-137, -256
Ladakh,-118, 289
Madhya Pradesh,-112, 23
Maharashtra,-175, -68
Manipur,235, 61
Meghalaya,173, 77
Mizoram,219, 32
Nagaland,248, 95
Odisha,25, -47
Punjab, -136, 190
Rajasthan,-210, 96
Sikkim,122, 117
Tamil Nadu,-107, -263
Telangana,-83, -105
Tripura,193, 39
Uttar Pradesh,-45, 93
Uttarakhand,-69, 173
West Bengal,102, 21